word,type_word,level,uk_mp3,uk_ogg,us_mp3,us_ogg
accommodate,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accommodate__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accommodate__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accommodate__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodate__us_1.ogg
accommodation,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accommodation__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accommodation__gb_2.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accommodation__us_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodation__us_2.ogg
accompany,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accompany__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accompany__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accompany__us_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accompany__us_2.ogg
accomplish,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accomplish__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accomplish__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accomplish__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplish__us_1.ogg
accomplishment,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accomplishment__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accomplishment__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accomplishment__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplishment__us_1.ogg
accordance,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/accordance__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accor/accordance__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accor/accordance__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordance__us_1.ogg
according to,preposition,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/according_to_1_gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accor/according_to_1_gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accor/according_to_1_us_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/according_to_1_us_3.ogg
accordingly,adverb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/accordingly__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accor/accordingly__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accor/accordingly__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordingly__us_1.ogg
account,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/account__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/account__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/account__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg
account,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/account__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/account__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/account__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg
